Migration between Germany and foreign countries: years,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union states, sex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"European Union states
Sex
Arrivals from foreign countries
Departures to foreign countries";;;Unit;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3245;3876;3600;2855;2681;2831;3057;3678
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7455;7272;7225;7190;9728;10701;11653;12957
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6636;8082;7586;6067;5889;6287;7377;8831
Denmark;Male;Arrivals from foreign countries;number;1165;983;859;876;967;1055;1295;1292;986;856;824;1033;1116;1155;1188;1399;1614;1783;2392;2693;2653;2281;1935;1686;1603;1861;1787;1791;1610;1426;1500;1483;1431;1514;1710;1761;1792;1942;1822;2029;1889
;;Departures to foreign countries;number;1077;932;1010;856;890;877;881;990;942;1058;920;972;1342;1101;942;904;1045;1219;1411;1995;2545;2387;2395;2045;1995;1899;1500;1496;1574;1428;1620;1395;1637;2137;2449;2309;1752;1658;1543;1606;1872
;Female;Arrivals from foreign countries;number;1146;967;1009;802;834;916;993;1072;944;984;964;1067;1132;1113;1197;1327;1534;1751;1964;1960;1948;1836;1698;1401;1468;1451;1448;1445;1279;1267;1178;1186;1132;1117;1321;1396;1473;1498;1621;1720;1628
;;Departures to foreign countries;number;891;810;903;772;804;748;778;753;877;930;936;924;1165;954;808;941;1021;1246;1337;1803;1951;2044;1971;1818;1814;1593;1305;1320;1400;1284;1442;1299;1478;1877;2100;1961;1570;1417;1385;1447;1770
;Total;Arrivals from foreign countries;number;2311;1950;1868;1678;1801;1971;2288;2364;1930;1840;1788;2100;2248;2268;2385;2726;3148;3534;4356;4653;4601;4117;3633;3087;3071;3312;3235;3236;2889;2693;2678;2669;2563;2631;3031;3157;3265;3440;3443;3749;3517
;;Departures to foreign countries;number;1968;1742;1913;1628;1694;1625;1659;1743;1819;1988;1856;1896;2507;2055;1750;1845;2066;2465;2748;3798;4496;4431;4366;3863;3809;3492;2805;2816;2974;2712;3062;2694;3115;4014;4549;4270;3322;3075;2928;3053;3642
Estonia;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;232;237;429;622;759;625;700;567
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;205;293;289;412;463;465;435;458
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;494;410;479;587;756;744;730;609
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;321;481;403;367;369;402;428;478
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;726;647;908;1209;1515;1369;1430;1176
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;526;774;692;779;832;867;863;936
Finland;Male;Arrivals from foreign countries;number;679;454;520;633;714;733;893;643;612;624;513;637;695;784;790;816;1111;987;1538;1572;2302;2316;1752;1393;1271;1260;1313;1194;925;938;1001;260;225;1021;879;976;1008;1102;1155;1222;1191
;;Departures to foreign countries;number;730;651;518;503;645;564;697;754;724;669;696;552;590;729;729;640;831;867;873;1178;1486;1860;2098;1564;1348;1263;1230;1181;1181;1074;1196;957;980;1004;1128;1192;998;881;981;977;1129
;Female;Arrivals from foreign countries;number;1359;970;936;1098;1149;1055;1078;1005;935;857;928;985;998;1020;1095;1020;1101;1284;1745;1834;2119;2163;1980;1834;1598;1653;1701;1539;1278;1266;1228;1198;1129;1229;1167;1184;1177;1328;1435;1401;1414
;;Departures to foreign countries;number;1301;1139;830;823;932;838;882;970;916;879;886;822;882;907;884;841;860;953;1007;1308;1574;1770;1980;1797;1768;1617;1570;1477;1477;1306;1500;1215;1166;1168;1357;1471;1193;1144;1194;1169;1293
;Total;Arrivals from foreign countries;number;2038;1424;1456;1731;1863;1788;1971;1648;1547;1481;1441;1622;1693;1804;1885;1836;2212;2271;3283;3406;4421;4479;3732;3227;2869;2913;3014;2733;2203;2204;2229;1458;1354;2250;2046;2160;2185;2430;2590;2623;2605
;;Departures to foreign countries;number;2031;1790;1348;1326;1577;1402;1579;1724;1640;1548;1582;1374;1472;1636;1613;1481;1691;1820;1880;2486;3060;3630;4078;3361;3116;2880;2800;2658;2658;2380;2696;2172;2146;2172;2485;2663;2191;2025;2175;2146;2422
France;Male;Arrivals from foreign countries;number;8608;6616;6950;7054;7701;9628;10540;9084;7149;6302;6717;7188;7548;7843;7965;8638;8584;8835;9788;10023;10533;11319;12190;10823;10634;11653;11782;10800;9826;9477;9701;971;855;10339;10490;10604;10635;10994;11114;11847;12230
;;Departures to foreign countries;number;8325;6966;6645;6260;6689;6723;7610;7801;7993;6826;6439;6850;6121;6305;5984;6986;7435;8578;9024;9394;10467;10587;10822;10898;10612;10908;10368;10372;10415;10051;10887;9335;9131;9336;11005;11247;9567;8676;8449;8682;9898
;Female;Arrivals from foreign countries;number;7905;6891;6684;6936;6883;7533;8467;7930;6744;6215;6486;6958;7338;7564;8135;8567;8574;8866;10043;9816;9820;10382;10491;9635;9588;9863;9704;9062;8793;8656;8668;8902;9120;9288;9282;9461;9631;9917;10192;10797;11077
;;Departures to foreign countries;number;6861;6624;6521;6226;6593;6251;6538;6684;7095;6557;6213;6186;6302;6308;6226;6887;7159;8366;8959;8925;10093;9799;9698;9708;9713;10265;9047;8862;9400;9009;9959;8622;8659;8575;10541;10911;9124;8605;8254;8498;9620
;Total;Arrivals from foreign countries;number;16513;13507;13634;13990;14584;17161;19007;17014;13893;12517;13203;14146;14886;15407;16100;17205;17158;17701;19831;19839;20353;21701;22681;20458;20222;21516;21486;19862;18619;18133;18369;9873;9975;19627;19772;20065;20266;20911;21306;22644;23307
;;Departures to foreign countries;number;15186;13590;13166;12486;13282;12974;14148;14485;15088;13383;12652;13036;12423;12613;12210;13873;14594;16944;17983;18319;20560;20386;20520;20606;20325;21173;19415;19234;19815;19060;20846;17957;17790;17911;21546;22158;18691;17281;16703;17180;19518
Greece;Male;Arrivals from foreign countries;number;16271;9898;9317;8879;9183;8834;9469;11538;7923;6295;5703;5880;7357;9777;20608;18249;16443;17284;14674;12007;12945;13546;12763;10704;10417;11314;11252;10705;9959;7904;6585;5915;5458;5396;5448;5805;8187;14896;20296;19777;18158
;;Departures to foreign countries;number;27968;36645;32196;26474;20144;16304;12313;9461;10889;10996;9526;9527;8816;7658;7814;8980;9086;9854;10503;11348;12602;12606;13247;13492;12545;12214;11612;11941;12244;10877;12236;9743;8996;8895;10195;10306;7419;6789;7944;8902;10645
;Female;Arrivals from foreign countries;number;14202;8728;7204;6965;6802;6618;7064;7763;5612;4409;4290;4482;5426;6819;13515;12273;11146;12048;10638;7816;7585;8418;7992;6601;6438;7183;7106;6824;5954;5055;4298;3777;3499;3512;3714;3904;5530;10368;15515;14951;13529
;;Departures to foreign countries;number;21261;29667;26758;22237;16867;13637;10688;7006;8030;8858;8112;7824;7184;6341;5835;6491;6157;6404;7063;7459;8196;8232;8443;9186;8300;8078;7771;7747;7754;7229;8281;7141;6657;6704;7342;7622;5222;4470;4944;5313;6576
;Total;Arrivals from foreign countries;number;30473;18626;16521;15844;15985;15452;16533;19301;13535;10704;9993;10362;12783;16596;34123;30522;27589;29332;25312;19823;20530;21964;20755;17305;16855;18497;18358;17529;15913;12959;10883;9692;8957;8908;9162;9709;13717;25264;35811;34728;31687
;;Departures to foreign countries;number;49229;66312;58954;48711;37011;29941;23001;16467;18919;19854;17638;17351;16000;13999;13649;15471;15243;16258;17566;18807;20798;20838;21690;22678;20845;20292;19383;19688;19998;18106;20517;16884;15653;15599;17537;17928;12641;11259;12888;14215;17221
Hungary;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17714;19722;19591;22681;31059;38527;40754;39280
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14103;17670;17897;16402;19726;22306;26476;30904
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5166;6150;6441;7334;10923;16300;18239;18000
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3629;4827;5177;4928;5274;6313;8275;10120
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22880;25872;26032;30015;41982;54827;58993;57280
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17732;22497;23074;21330;25000;28619;34751;41024
Ireland;Male;Arrivals from foreign countries;number;507;389;694;961;1037;1603;2537;1874;1311;886;1032;1142;1406;1793;1767;2615;1999;3221;3680;3027;2924;3425;3408;2170;1541;1514;1359;1407;1174;1060;853;806;960;1060;1191;1308;1313;1580;1650;1518;1589
;;Departures to foreign countries;number;458;379;518;738;769;1154;1683;1912;1341;1049;1011;971;904;1399;1030;1520;1311;2802;2264;2531;2958;3074;3951;2981;2211;1699;1480;1385;1296;1214;1238;1022;1196;1319;1424;1303;1089;967;959;1057;1225
;Female;Arrivals from foreign countries;number;463;425;527;753;886;1323;1759;1458;1137;827;983;1010;1210;1576;1665;2003;1879;2616;2925;2308;2271;2536;2624;1960;1758;1561;1366;1298;1056;986;802;745;764;802;978;1058;1006;1214;1304;1258;1330
